Peek Lid Scan 

Barcode Fluorometer 1: 10164802459125008321372; 
Barcode Fluorometer 2: 20163102452123308261375; 

SystemTime; Bank No;	Well No;	Color;	RFU;	Time;	CycleNo; 
2020-06-19   13:24:35 ;	0;	47;	1;	3133;0;	0; 
2020-06-19   13:24:35 ;	0;	1;	2;	1019;0;	0; 
2020-06-19   13:24:35 ;	0;	31;	2;	1053;0;	0; 
2020-06-19   13:24:35 ;	0;	8;	3;	736;0;	0; 
2020-06-19   13:24:35 ;	0;	38;	3;	836;0;	0; 
2020-06-19   13:24:35 ;	0;	14;	4;	1268;0;	0; 
2020-06-19   13:24:35 ;	0;	44;	4;	1255;0;	0; 
2020-06-19   13:24:35 ;	0;	30;	0;	24708;0;	0; 
2020-06-19   13:24:35 ;	0;	21;	1;	3427;0;	0; 
2020-06-19   13:24:35 ;	0;	7;	2;	1059;0;	0; 
2020-06-19   13:24:35 ;	0;	60;	0;	25822;0;	0; 
2020-06-19   13:24:35 ;	0;	5;	3;	765;0;	0; 
2020-06-19   13:24:35 ;	0;	51;	1;	3417;0;	0; 
2020-06-19   13:24:35 ;	0;	20;	4;	1211;0;	0; 
2020-06-19   13:24:35 ;	0;	37;	2;	1063;0;	0; 
2020-06-19   13:24:35 ;	0;	35;	3;	786;0;	0; 
2020-06-19   13:24:35 ;	0;	50;	4;	1258;0;	0; 
2020-06-19   13:24:35 ;	0;	18;	0;	25312;0;	0; 
2020-06-19   13:24:35 ;	0;	48;	0;	26515;0;	0; 
2020-06-19   13:24:35 ;	0;	22;	1;	3383;0;	0; 
2020-06-19   13:24:35 ;	0;	52;	1;	3383;0;	0; 
2020-06-19   13:24:35 ;	0;	6;	2;	1153;0;	0; 
2020-06-19   13:24:36 ;	0;	36;	2;	1075;0;	0; 
2020-06-19   13:24:36 ;	0;	4;	3;	781;0;	0; 
2020-06-19   13:24:36 ;	0;	34;	3;	825;0;	0; 
2020-06-19   13:24:36 ;	0;	15;	4;	1300;0;	0; 
2020-06-19   13:24:36 ;	0;	45;	4;	1228;0;	0; 
2020-06-19   13:24:36 ;	0;	23;	0;	29605;0;	0; 
2020-06-19   13:24:36 ;	0;	53;	0;	29759;0;	0; 
2020-06-19   13:24:36 ;	0;	26;	1;	3545;0;	0; 
2020-06-19   13:24:36 ;	0;	56;	1;	3133;0;	0; 
2020-06-19   13:24:36 ;	0;	12;	2;	1249;0;	0; 
2020-06-19   13:24:36 ;	0;	42;	2;	1062;0;	0; 
2020-06-19   13:24:36 ;	0;	3;	3;	803;0;	0; 
2020-06-19   13:24:36 ;	0;	33;	3;	804;0;	0; 
2020-06-19   13:24:36 ;	0;	19;	4;	1175;0;	0; 
2020-06-19   13:24:36 ;	0;	49;	4;	1162;0;	0; 
2020-06-19   13:24:36 ;	0;	24;	0;	27889;0;	0; 
2020-06-19   13:24:36 ;	0;	54;	0;	29874;0;	0; 
2020-06-19   13:24:36 ;	0;	28;	1;	3527;0;	0; 
2020-06-19   13:24:36 ;	0;	58;	1;	3457;0;	0; 
2020-06-19   13:24:36 ;	0;	11;	2;	1095;0;	0; 
2020-06-19   13:24:36 ;	0;	41;	2;	936;0;	0; 
2020-06-19   13:24:36 ;	0;	2;	3;	803;0;	0; 
2020-06-19   13:24:36 ;	0;	32;	3;	799;0;	0; 
2020-06-19   13:24:36 ;	0;	10;	4;	1262;0;	0; 
2020-06-19   13:24:36 ;	0;	40;	4;	1215;0;	0; 
2020-06-19   13:24:36 ;	0;	25;	0;	25010;0;	0; 
2020-06-19   13:24:36 ;	0;	55;	0;	25341;0;	0; 
2020-06-19   13:24:36 ;	0;	27;	1;	3383;0;	0; 
2020-06-19   13:24:36 ;	0;	57;	1;	3382;0;	0; 
2020-06-19   13:24:36 ;	0;	16;	2;	1066;0;	0; 
2020-06-19   13:24:36 ;	0;	46;	2;	1109;0;	0; 
2020-06-19   13:24:36 ;	0;	13;	3;	743;0;	0; 
2020-06-19   13:24:36 ;	0;	43;	3;	807;0;	0; 
2020-06-19   13:24:37 ;	0;	9;	4;	1280;0;	0; 
2020-06-19   13:24:37 ;	0;	39;	4;	1298;0;	0; 
2020-06-19   13:24:37 ;	0;	14;	0;	31007;0;	0; 
2020-06-19   13:24:37 ;	0;	29;	1;	3590;0;	0; 
2020-06-19   13:24:37 ;	0;	17;	2;	972;0;	0; 
2020-06-19   13:24:37 ;	0;	44;	0;	29473;0;	0; 
2020-06-19   13:24:37 ;	0;	1;	3;	756;0;	0; 
2020-06-19   13:24:37 ;	0;	59;	1;	3433;0;	0; 
2020-06-19   13:24:37 ;	0;	8;	4;	1234;0;	0; 
2020-06-19   13:24:37 ;	0;	47;	2;	1012;0;	0; 
2020-06-19   13:24:37 ;	0;	31;	3;	832;0;	0; 
2020-06-19   13:24:37 ;	0;	38;	4;	1268;0;	0; 
2020-06-19   13:24:37 ;	0;	20;	0;	28985;0;	0; 
2020-06-19   13:24:37 ;	0;	50;	0;	27586;0;	0; 
2020-06-19   13:24:37 ;	0;	30;	1;	3388;0;	0; 
2020-06-19   13:24:37 ;	0;	60;	1;	3276;0;	0; 
2020-06-19   13:24:37 ;	0;	21;	2;	1100;0;	0; 
2020-06-19   13:24:37 ;	0;	51;	2;	1077;0;	0; 
2020-06-19   13:24:37 ;	0;	7;	3;	766;0;	0; 
2020-06-19   13:24:37 ;	0;	37;	3;	772;0;	0; 
2020-06-19   13:24:37 ;	0;	5;	4;	1238;0;	0; 
2020-06-19   13:24:37 ;	0;	35;	4;	1299;0;	0; 
2020-06-19   13:24:37 ;	0;	15;	0;	30523;0;	0; 
2020-06-19   13:24:37 ;	0;	45;	0;	27763;0;	0; 
2020-06-19   13:24:37 ;	0;	18;	1;	3343;0;	0; 
2020-06-19   13:24:37 ;	0;	48;	1;	3514;0;	0; 
2020-06-19   13:24:37 ;	0;	22;	2;	1094;0;	0; 
2020-06-19   13:24:37 ;	0;	52;	2;	1042;0;	0; 
2020-06-19   13:24:37 ;	0;	6;	3;	797;0;	0; 
2020-06-19   13:24:37 ;	0;	36;	3;	807;0;	0; 
2020-06-19   13:24:37 ;	0;	4;	4;	1274;0;	0; 
2020-06-19   13:24:37 ;	0;	34;	4;	1310;0;	0; 
2020-06-19   13:24:37 ;	0;	19;	0;	26991;0;	0; 
2020-06-19   13:24:37 ;	0;	49;	0;	27000;0;	0; 
2020-06-19   13:24:38 ;	0;	23;	1;	3651;0;	0; 
2020-06-19   13:24:38 ;	0;	53;	1;	3873;0;	0; 
2020-06-19   13:24:38 ;	0;	26;	2;	1157;0;	0; 
2020-06-19   13:24:38 ;	0;	56;	2;	973;0;	0; 
2020-06-19   13:24:38 ;	0;	12;	3;	858;0;	0; 
2020-06-19   13:24:38 ;	0;	42;	3;	832;0;	0; 
2020-06-19   13:24:38 ;	0;	3;	4;	1297;0;	0; 
2020-06-19   13:24:38 ;	0;	33;	4;	1310;0;	0; 
2020-06-19   13:24:38 ;	0;	10;	0;	30113;0;	0; 
2020-06-19   13:24:38 ;	0;	24;	1;	3632;0;	0; 
2020-06-19   13:24:38 ;	0;	28;	2;	1177;0;	0; 
2020-06-19   13:24:38 ;	0;	40;	0;	28495;0;	0; 
2020-06-19   13:24:38 ;	0;	11;	3;	815;0;	0; 
2020-06-19   13:24:38 ;	0;	54;	1;	3724;0;	0; 
2020-06-19   13:24:38 ;	0;	2;	4;	1300;0;	0; 
2020-06-19   13:24:38 ;	0;	58;	2;	1058;0;	0; 
2020-06-19   13:24:38 ;	0;	41;	3;	796;0;	0; 
2020-06-19   13:24:38 ;	0;	32;	4;	1317;0;	0; 
2020-06-19   13:24:38 ;	0;	9;	0;	32164;0;	0; 
2020-06-19   13:24:38 ;	0;	39;	0;	29848;0;	0; 
2020-06-19   13:24:38 ;	0;	25;	1;	3382;0;	0; 
2020-06-19   13:24:38 ;	0;	55;	1;	3416;0;	0; 
2020-06-19   13:24:38 ;	0;	27;	2;	1109;0;	0; 
2020-06-19   13:24:38 ;	0;	57;	2;	1031;0;	0; 
2020-06-19   13:24:38 ;	0;	16;	3;	802;0;	0; 
2020-06-19   13:24:38 ;	0;	46;	3;	838;0;	0; 
2020-06-19   13:24:38 ;	0;	13;	4;	1178;0;	0; 
2020-06-19   13:24:38 ;	0;	43;	4;	1309;0;	0; 
2020-06-19   13:24:38 ;	0;	8;	0;	29677;0;	0; 
2020-06-19   13:24:38 ;	0;	38;	0;	29232;0;	0; 
2020-06-19   13:24:38 ;	0;	14;	1;	3745;0;	0; 
2020-06-19   13:24:38 ;	0;	44;	1;	3654;0;	0; 
2020-06-19   13:24:38 ;	0;	29;	2;	1181;0;	0; 
2020-06-19   13:24:38 ;	0;	59;	2;	1009;0;	0; 
2020-06-19   13:24:39 ;	0;	17;	3;	771;0;	0; 
2020-06-19   13:24:39 ;	0;	47;	3;	824;0;	0; 
2020-06-19   13:24:39 ;	0;	1;	4;	1139;0;	0; 
2020-06-19   13:24:39 ;	0;	31;	4;	1192;0;	0; 
2020-06-19   13:24:39 ;	0;	5;	0;	29637;0;	0; 
2020-06-19   13:24:39 ;	0;	35;	0;	29543;0;	0; 
2020-06-19   13:24:39 ;	0;	20;	1;	3646;0;	0; 
2020-06-19   13:24:39 ;	0;	50;	1;	3691;0;	0; 
2020-06-19   13:24:39 ;	0;	30;	2;	1108;0;	0; 
2020-06-19   13:24:39 ;	0;	60;	2;	1024;0;	0; 
2020-06-19   13:24:39 ;	0;	21;	3;	830;0;	0; 
2020-06-19   13:24:39 ;	0;	51;	3;	801;0;	0; 
2020-06-19   13:24:39 ;	0;	7;	4;	1136;0;	0; 
2020-06-19   13:24:39 ;	0;	37;	4;	1181;0;	0; 
2020-06-19   13:24:39 ;	0;	4;	0;	31241;0;	0; 
2020-06-19   13:24:39 ;	0;	15;	1;	3779;0;	0; 
2020-06-19   13:24:39 ;	0;	18;	2;	1145;0;	0; 
2020-06-19   13:24:39 ;	0;	34;	0;	30272;0;	0; 
2020-06-19   13:24:39 ;	0;	22;	3;	813;0;	0; 
2020-06-19   13:24:39 ;	0;	45;	1;	3574;0;	0; 
2020-06-19   13:24:39 ;	0;	6;	4;	1256;0;	0; 
2020-06-19   13:24:39 ;	0;	48;	2;	1089;0;	0; 
2020-06-19   13:24:39 ;	0;	52;	3;	799;0;	0; 
2020-06-19   13:24:39 ;	0;	36;	4;	1248;0;	0; 
2020-06-19   13:24:39 ;	0;	3;	0;	30919;0;	0; 
2020-06-19   13:24:39 ;	0;	33;	0;	28730;0;	0; 
2020-06-19   13:24:39 ;	0;	19;	1;	3547;0;	0; 
2020-06-19   13:24:39 ;	0;	49;	1;	3470;0;	0; 
2020-06-19   13:24:39 ;	0;	23;	2;	1237;0;	0; 
2020-06-19   13:24:39 ;	0;	53;	2;	1247;0;	0; 
2020-06-19   13:24:39 ;	0;	26;	3;	834;0;	0; 
2020-06-19   13:24:39 ;	0;	56;	3;	831;0;	0; 
2020-06-19   13:24:40 ;	0;	12;	4;	1327;0;	0; 
2020-06-19   13:24:40 ;	0;	42;	4;	1246;0;	0; 
2020-06-19   13:24:40 ;	0;	2;	0;	32360;0;	0; 
2020-06-19   13:24:40 ;	0;	32;	0;	28764;0;	0; 
2020-06-19   13:24:40 ;	0;	10;	1;	3624;0;	0; 
2020-06-19   13:24:40 ;	0;	40;	1;	3557;0;	0; 
2020-06-19   13:24:40 ;	0;	24;	2;	1222;0;	0; 
2020-06-19   13:24:40 ;	0;	54;	2;	1273;0;	0; 
2020-06-19   13:24:40 ;	0;	28;	3;	837;0;	0; 
2020-06-19   13:24:40 ;	0;	58;	3;	810;0;	0; 
2020-06-19   13:24:40 ;	0;	11;	4;	1193;0;	0; 
2020-06-19   13:24:40 ;	0;	41;	4;	1121;0;	0; 
2020-06-19   13:24:40 ;	0;	13;	0;	28382;0;	0; 
2020-06-19   13:24:40 ;	0;	43;	0;	30183;0;	0; 
2020-06-19   13:24:40 ;	0;	9;	1;	3688;0;	0; 
2020-06-19   13:24:40 ;	0;	39;	1;	3766;0;	0; 
2020-06-19   13:24:40 ;	0;	25;	2;	1123;0;	0; 
2020-06-19   13:24:40 ;	0;	55;	2;	1085;0;	0; 
2020-06-19   13:24:40 ;	0;	27;	3;	766;0;	0; 
2020-06-19   13:24:40 ;	0;	57;	3;	727;0;	0; 
2020-06-19   13:24:40 ;	0;	16;	4;	1201;0;	0; 
2020-06-19   13:24:40 ;	0;	46;	4;	1275;0;	0; 
2020-06-19   13:24:40 ;	0;	1;	0;	24657;0;	0; 
2020-06-19   13:24:40 ;	0;	8;	1;	3516;0;	0; 
2020-06-19   13:24:40 ;	0;	14;	2;	1271;0;	0; 
2020-06-19   13:24:40 ;	0;	31;	0;	25542;0;	0; 
2020-06-19   13:24:40 ;	0;	29;	3;	776;0;	0; 
2020-06-19   13:24:40 ;	0;	38;	1;	3748;0;	0; 
2020-06-19   13:24:40 ;	0;	17;	4;	1071;0;	0; 
2020-06-19   13:24:40 ;	0;	44;	2;	1296;0;	0; 
2020-06-19   13:24:40 ;	0;	59;	3;	801;0;	0; 
2020-06-19   13:24:40 ;	0;	47;	4;	1190;0;	0; 
2020-06-19   13:24:40 ;	0;	7;	0;	23426;0;	0; 
2020-06-19   13:24:40 ;	0;	37;	0;	25331;0;	0; 
2020-06-19   13:24:41 ;	0;	5;	1;	3477;0;	0; 
2020-06-19   13:24:41 ;	0;	35;	1;	3768;0;	0; 
2020-06-19   13:24:41 ;	0;	20;	2;	1199;0;	0; 
2020-06-19   13:24:41 ;	0;	50;	2;	1233;0;	0; 
2020-06-19   13:24:41 ;	0;	30;	3;	782;0;	0; 
2020-06-19   13:24:41 ;	0;	60;	3;	764;0;	0; 
2020-06-19   13:24:41 ;	0;	21;	4;	1246;0;	0; 
2020-06-19   13:24:41 ;	0;	51;	4;	1181;0;	0; 
2020-06-19   13:24:41 ;	0;	6;	0;	29838;0;	0; 
2020-06-19   13:24:41 ;	0;	36;	0;	26530;0;	0; 
2020-06-19   13:24:41 ;	0;	4;	1;	3652;0;	0; 
2020-06-19   13:24:41 ;	0;	34;	1;	3837;0;	0; 
2020-06-19   13:24:41 ;	0;	15;	2;	1271;0;	0; 
2020-06-19   13:24:41 ;	0;	45;	2;	1284;0;	0; 
2020-06-19   13:24:41 ;	0;	18;	3;	767;0;	0; 
2020-06-19   13:24:41 ;	0;	48;	3;	796;0;	0; 
2020-06-19   13:24:41 ;	0;	22;	4;	1160;0;	0; 
2020-06-19   13:24:41 ;	0;	52;	4;	1186;0;	0; 
2020-06-19   13:24:41 ;	0;	12;	0;	30611;0;	0; 
2020-06-19   13:24:41 ;	0;	42;	0;	25286;0;	0; 
2020-06-19   13:24:41 ;	0;	3;	1;	3556;0;	0; 
2020-06-19   13:24:41 ;	0;	33;	1;	3744;0;	0; 
2020-06-19   13:24:41 ;	0;	19;	2;	1181;0;	0; 
2020-06-19   13:24:41 ;	0;	49;	2;	1217;0;	0; 
2020-06-19   13:24:41 ;	0;	23;	3;	822;0;	0; 
2020-06-19   13:24:41 ;	0;	53;	3;	841;0;	0; 
2020-06-19   13:24:41 ;	0;	26;	4;	1252;0;	0; 
2020-06-19   13:24:41 ;	0;	56;	4;	1128;0;	0; 
2020-06-19   13:24:41 ;	0;	11;	0;	26998;0;	0; 
2020-06-19   13:24:41 ;	0;	41;	0;	22705;0;	0; 
2020-06-19   13:24:41 ;	0;	2;	1;	3517;0;	0; 
2020-06-19   13:24:41 ;	0;	32;	1;	3556;0;	0; 
2020-06-19   13:24:41 ;	0;	10;	2;	1191;0;	0; 
2020-06-19   13:24:41 ;	0;	40;	2;	1220;0;	0; 
2020-06-19   13:24:42 ;	0;	24;	3;	793;0;	0; 
2020-06-19   13:24:42 ;	0;	54;	3;	780;0;	0; 
2020-06-19   13:24:42 ;	0;	28;	4;	1209;0;	0; 
2020-06-19   13:24:42 ;	0;	58;	4;	1158;0;	0; 
2020-06-19   13:24:42 ;	0;	16;	0;	28412;0;	0; 
2020-06-19   13:24:42 ;	0;	46;	0;	25914;0;	0; 
2020-06-19   13:24:42 ;	0;	13;	1;	3424;0;	0; 
2020-06-19   13:24:42 ;	0;	43;	1;	3783;0;	0; 
2020-06-19   13:24:42 ;	0;	9;	2;	1253;0;	0; 
2020-06-19   13:24:42 ;	0;	39;	2;	1296;0;	0; 
2020-06-19   13:24:42 ;	0;	25;	3;	754;0;	0; 
2020-06-19   13:24:42 ;	0;	55;	3;	795;0;	0; 
2020-06-19   13:24:42 ;	0;	27;	4;	1167;0;	0; 
2020-06-19   13:24:42 ;	0;	57;	4;	1108;0;	0; 
2020-06-19   13:24:42 ;	0;	17;	0;	23941;0;	0; 
2020-06-19   13:24:42 ;	0;	47;	0;	25455;0;	0; 
2020-06-19   13:24:42 ;	0;	1;	1;	3337;0;	0; 
2020-06-19   13:24:42 ;	0;	31;	1;	3345;0;	0; 
2020-06-19   13:24:42 ;	0;	8;	2;	1201;0;	0; 
2020-06-19   13:24:42 ;	0;	38;	2;	1266;0;	0; 
2020-06-19   13:24:42 ;	0;	14;	3;	794;0;	0; 
2020-06-19   13:24:42 ;	0;	44;	3;	788;0;	0; 
2020-06-19   13:24:42 ;	0;	29;	4;	1208;0;	0; 
2020-06-19   13:24:42 ;	0;	59;	4;	1184;0;	0; 
2020-06-19   13:24:42 ;	0;	21;	0;	27178;0;	0; 
2020-06-19   13:24:42 ;	0;	51;	0;	27247;0;	0; 
2020-06-19   13:24:42 ;	0;	7;	1;	3363;0;	0; 
2020-06-19   13:24:42 ;	0;	37;	1;	3407;0;	0; 
2020-06-19   13:24:42 ;	0;	5;	2;	1165;0;	0; 
2020-06-19   13:24:42 ;	0;	35;	2;	1250;0;	0; 
2020-06-19   13:24:42 ;	0;	20;	3;	742;0;	0; 
2020-06-19   13:24:42 ;	0;	50;	3;	806;0;	0; 
2020-06-19   13:24:42 ;	0;	30;	4;	1151;0;	0; 
2020-06-19   13:24:42 ;	0;	60;	4;	1132;0;	0; 
2020-06-19   13:24:43 ;	0;	22;	0;	24896;0;	0; 
2020-06-19   13:24:43 ;	0;	52;	0;	26473;0;	0; 
2020-06-19   13:24:43 ;	0;	6;	1;	3403;0;	0; 
2020-06-19   13:24:43 ;	0;	36;	1;	3405;0;	0; 
2020-06-19   13:24:43 ;	0;	4;	2;	1180;0;	0; 
2020-06-19   13:24:43 ;	0;	34;	2;	1248;0;	0; 
2020-06-19   13:24:43 ;	0;	15;	3;	785;0;	0; 
2020-06-19   13:24:43 ;	0;	45;	3;	776;0;	0; 
2020-06-19   13:24:43 ;	0;	18;	4;	1181;0;	0; 
2020-06-19   13:24:43 ;	0;	48;	4;	1192;0;	0; 
2020-06-19   13:24:43 ;	0;	26;	0;	26334;0;	0; 
2020-06-19   13:24:43 ;	0;	12;	1;	3690;0;	0; 
2020-06-19   13:24:43 ;	0;	3;	2;	1183;0;	0; 
2020-06-19   13:24:43 ;	0;	56;	0;	24197;0;	0; 
2020-06-19   13:24:43 ;	0;	19;	3;	744;0;	0; 
2020-06-19   13:24:43 ;	0;	42;	1;	3315;0;	0; 
2020-06-19   13:24:43 ;	0;	23;	4;	1269;0;	0; 
2020-06-19   13:24:43 ;	0;	33;	2;	1180;0;	0; 
2020-06-19   13:24:43 ;	0;	49;	3;	749;0;	0; 
2020-06-19   13:24:43 ;	0;	53;	4;	1318;0;	0; 
2020-06-19   13:24:43 ;	0;	28;	0;	27213;0;	0; 
2020-06-19   13:24:43 ;	0;	58;	0;	26590;0;	0; 
2020-06-19   13:24:43 ;	0;	11;	1;	3393;0;	0; 
2020-06-19   13:24:43 ;	0;	41;	1;	2961;0;	0; 
2020-06-19   13:24:43 ;	0;	2;	2;	1179;0;	0; 
2020-06-19   13:24:43 ;	0;	32;	2;	1172;0;	0; 
2020-06-19   13:24:43 ;	0;	10;	3;	765;0;	0; 
2020-06-19   13:24:43 ;	0;	40;	3;	743;0;	0; 
2020-06-19   13:24:43 ;	0;	24;	4;	1247;0;	0; 
2020-06-19   13:24:43 ;	0;	54;	4;	1227;0;	0; 
2020-06-19   13:24:43 ;	0;	27;	0;	21672;0;	0; 
2020-06-19   13:24:43 ;	0;	57;	0;	26228;0;	0; 
2020-06-19   13:24:44 ;	0;	16;	1;	3230;0;	0; 
2020-06-19   13:24:44 ;	0;	46;	1;	3508;0;	0; 
2020-06-19   13:24:44 ;	0;	13;	2;	1142;0;	0; 
2020-06-19   13:24:44 ;	0;	43;	2;	1256;0;	0; 
2020-06-19   13:24:44 ;	0;	9;	3;	784;0;	0; 
2020-06-19   13:24:44 ;	0;	39;	3;	794;0;	0; 
2020-06-19   13:24:44 ;	0;	25;	4;	1167;0;	0; 
2020-06-19   13:24:44 ;	0;	55;	4;	1156;0;	0; 
2020-06-19   13:24:44 ;	0;	29;	0;	26104;0;	0; 
2020-06-19   13:24:44 ;	0;	59;	0;	25374;0;	0; 
2020-06-19   13:24:44 ;	0;	17;	1;	2999;0;	0; 
2020-06-19   13:24:44 ;	0;	47;	1;	3166;0;	0; 
2020-06-19   13:24:44 ;	0;	1;	2;	1045;0;	0; 
2020-06-19   13:24:44 ;	0;	31;	2;	1067;0;	0; 
2020-06-19   13:24:44 ;	0;	8;	3;	744;0;	0; 
2020-06-19   13:24:44 ;	0;	38;	3;	835;0;	0; 
2020-06-19   13:24:44 ;	0;	14;	4;	1272;0;	0; 
2020-06-19   13:24:44 ;	0;	44;	4;	1263;0;	0; 
2020-06-19   13:24:44 ;	0;	30;	0;	24379;0;	0; 
2020-06-19   13:24:44 ;	0;	21;	1;	3418;0;	0; 
2020-06-19   13:24:44 ;	0;	7;	2;	1041;0;	0; 
2020-06-19   13:24:44 ;	0;	60;	0;	25522;0;	0; 
2020-06-19   13:24:44 ;	0;	5;	3;	760;0;	0; 
2020-06-19   13:24:44 ;	0;	51;	1;	3469;0;	0; 
2020-06-19   13:24:44 ;	0;	20;	4;	1201;0;	0; 
2020-06-19   13:24:44 ;	0;	37;	2;	1090;0;	0; 
2020-06-19   13:24:44 ;	0;	35;	3;	793;0;	0; 
2020-06-19   13:24:44 ;	0;	50;	4;	1276;0;	0; 
2020-06-19   13:24:44 ;	0;	18;	0;	25136;0;	0; 
2020-06-19   13:24:44 ;	0;	48;	0;	26283;0;	0; 
2020-06-19   13:24:44 ;	0;	22;	1;	3366;0;	0; 
2020-06-19   13:24:44 ;	0;	52;	1;	3410;0;	0; 
2020-06-19   13:24:44 ;	0;	6;	2;	1155;0;	0; 
2020-06-19   13:24:45 ;	0;	36;	2;	1108;0;	0; 
2020-06-19   13:24:45 ;	0;	4;	3;	779;0;	0; 
2020-06-19   13:24:45 ;	0;	34;	3;	823;0;	0; 
2020-06-19   13:24:45 ;	0;	15;	4;	1303;0;	0; 
2020-06-19   13:24:45 ;	0;	45;	4;	1236;0;	0; 
2020-06-19   13:24:45 ;	0;	23;	0;	29349;0;	0; 
2020-06-19   13:24:45 ;	0;	53;	0;	29516;0;	0; 
2020-06-19   13:24:45 ;	0;	26;	1;	3522;0;	0; 
2020-06-19   13:24:45 ;	0;	56;	1;	3165;0;	0; 
2020-06-19   13:24:45 ;	0;	12;	2;	1240;0;	0; 
2020-06-19   13:24:45 ;	0;	42;	2;	1078;0;	0; 
2020-06-19   13:24:45 ;	0;	3;	3;	797;0;	0; 
2020-06-19   13:24:45 ;	0;	33;	3;	807;0;	0; 
2020-06-19   13:24:45 ;	0;	19;	4;	1192;0;	0; 
2020-06-19   13:24:45 ;	0;	49;	4;	1178;0;	0; 
2020-06-19   13:24:45 ;	0;	24;	0;	27723;0;	0; 
2020-06-19   13:24:45 ;	0;	54;	0;	29637;0;	0; 
2020-06-19   13:24:45 ;	0;	28;	1;	3498;0;	0; 
2020-06-19   13:24:45 ;	0;	58;	1;	3474;0;	0; 
2020-06-19   13:24:45 ;	0;	11;	2;	1073;0;	0; 
2020-06-19   13:24:45 ;	0;	41;	2;	958;0;	0; 
2020-06-19   13:24:45 ;	0;	2;	3;	778;0;	0; 
2020-06-19   13:24:45 ;	0;	32;	3;	810;0;	0; 
2020-06-19   13:24:45 ;	0;	10;	4;	1244;0;	0; 
2020-06-19   13:24:45 ;	0;	40;	4;	1239;0;	0; 
2020-06-19   13:24:45 ;	0;	25;	0;	24757;0;	0; 
2020-06-19   13:24:45 ;	0;	27;	1;	3362;0;	0; 
2020-06-19   13:24:45 ;	0;	16;	2;	1065;0;	0; 
2020-06-19   13:24:45 ;	0;	55;	0;	25313;0;	0; 
2020-06-19   13:24:45 ;	0;	13;	3;	741;0;	0; 
2020-06-19   13:24:45 ;	0;	57;	1;	3402;0;	0; 
2020-06-19   13:24:45 ;	0;	9;	4;	1279;0;	0; 
2020-06-19   13:24:45 ;	0;	46;	2;	1120;0;	0; 
2020-06-19   13:24:45 ;	0;	43;	3;	834;0;	0; 
2020-06-19   13:24:46 ;	0;	39;	4;	1308;0;	0; 
2020-06-19   13:24:46 ;	0;	14;	0;	30428;0;	0; 
2020-06-19   13:24:46 ;	0;	44;	0;	29350;0;	0; 
2020-06-19   13:24:46 ;	0;	29;	1;	3530;0;	0; 
2020-06-19   13:24:46 ;	0;	59;	1;	3440;0;	0; 
2020-06-19   13:24:46 ;	0;	17;	2;	986;0;	0; 
2020-06-19   13:24:46 ;	0;	47;	2;	1026;0;	0; 
2020-06-19   13:24:46 ;	0;	1;	3;	753;0;	0; 
2020-06-19   13:24:46 ;	0;	31;	3;	853;0;	0; 
2020-06-19   13:24:46 ;	0;	8;	4;	1220;0;	0; 
2020-06-19   13:24:46 ;	0;	38;	4;	1290;0;	0; 
2020-06-19   13:24:46 ;	0;	20;	0;	28589;0;	0; 
2020-06-19   13:24:46 ;	0;	50;	0;	27624;0;	0; 
2020-06-19   13:24:46 ;	0;	30;	1;	3367;0;	0; 
2020-06-19   13:24:46 ;	0;	60;	1;	3309;0;	0; 
2020-06-19   13:24:46 ;	0;	21;	2;	1094;0;	0; 
2020-06-19   13:24:46 ;	0;	51;	2;	1084;0;	0; 
2020-06-19   13:24:46 ;	0;	7;	3;	766;0;	0; 
2020-06-19   13:24:46 ;	0;	37;	3;	780;0;	0; 
2020-06-19   13:24:46 ;	0;	5;	4;	1257;0;	0; 
2020-06-19   13:24:46 ;	0;	35;	4;	1307;0;	0; 
2020-06-19   13:24:46 ;	0;	15;	0;	30195;0;	0; 
2020-06-19   13:24:46 ;	0;	45;	0;	27838;0;	0; 
2020-06-19   13:24:46 ;	0;	18;	1;	3301;0;	0; 
2020-06-19   13:24:46 ;	0;	48;	1;	3508;0;	0; 
2020-06-19   13:24:46 ;	0;	22;	2;	1062;0;	0; 
2020-06-19   13:24:46 ;	0;	52;	2;	1057;0;	0; 
2020-06-19   13:24:46 ;	0;	6;	3;	804;0;	0; 
2020-06-19   13:24:46 ;	0;	36;	3;	811;0;	0; 
2020-06-19   13:24:46 ;	0;	4;	4;	1278;0;	0; 
2020-06-19   13:24:46 ;	0;	34;	4;	1326;0;	0; 
2020-06-19   13:24:46 ;	0;	19;	0;	26888;0;	0; 
2020-06-19   13:24:46 ;	0;	49;	0;	27122;0;	0; 
2020-06-19   13:24:46 ;	0;	23;	1;	3603;0;	0; 
2020-06-19   13:24:47 ;	0;	53;	1;	3875;0;	0; 
2020-06-19   13:24:47 ;	0;	26;	2;	1121;0;	0; 
2020-06-19   13:24:47 ;	0;	56;	2;	998;0;	0; 
2020-06-19   13:24:47 ;	0;	12;	3;	864;0;	0; 
2020-06-19   13:24:47 ;	0;	42;	3;	831;0;	0; 
2020-06-19   13:24:47 ;	0;	3;	4;	1275;0;	0; 
2020-06-19   13:24:47 ;	0;	33;	4;	1307;0;	0; 
2020-06-19   13:24:47 ;	0;	10;	0;	29902;0;	0; 
2020-06-19   13:24:47 ;	0;	40;	0;	28346;0;	0; 
